lemma,enlemma,verbnoun,lang,zipf,tier,freq_rank,cell_id,construction,tense,person,probed_person,probed_number,particle,requires_soft_mutation,aux_lemma,aux_gold,aux_gold_alts,gold,gold_alts,match_forms,seed,experiment
rhannu,share,rhannu,cy,5.568,high,50,synthetic_present_1s,synthetic,present,1s,1st,singular,,False,,,,rhannaf,,rhannaf,43,welsh_transfer_ood
rhannu,share,rhannu,cy,5.568,high,50,synthetic_present_2s,synthetic,present,2s,2nd,singular,,False,,,,rhenni,,rhenni,43,welsh_transfer_ood
rhannu,share,rhannu,cy,5.568,high,50,synthetic_present_3s,synthetic,present,3s,3rd,singular,,False,,,,rhanna,,rhanna,43,welsh_transfer_ood
rhannu,share,rhannu,cy,5.568,high,50,synthetic_present_1p,synthetic,present,1p,1st,plural,,False,,,,rhannwn,,rhannwn,43,welsh_transfer_ood
rhannu,share,rhannu,cy,5.568,high,50,synthetic_present_2p,synthetic,present,2p,2nd,plural,,False,,,,rhannwch,rhennwch,rhannwch|rhennwch,43,welsh_transfer_ood
rhannu,share,rhannu,cy,5.568,high,50,synthetic_present_3p,synthetic,present,3p,3rd,plural,,False,,,,rhannan,rhannant,rhannan|rhannant,43,welsh_transfer_ood
rhannu,share,rhannu,cy,5.568,high,50,synthetic_past_1s,synthetic,past,1s,1st,singular,,False,,,,rhannais,rhennais,rhannais|rhennais,43,welsh_transfer_ood
rhannu,share,rhannu,cy,5.568,high,50,synthetic_past_2s,synthetic,past,2s,2nd,singular,,False,,,,rhannaist,rhennaist,rhannaist|rhennaist,43,welsh_transfer_ood
rhannu,share,rhannu,cy,5.568,high,50,synthetic_past_3s,synthetic,past,3s,3rd,singular,,False,,,,rhannodd,,rhannodd,43,welsh_transfer_ood
rhannu,share,rhannu,cy,5.568,high,50,synthetic_past_1p,synthetic,past,1p,1st,plural,,False,,,,rhannon,rhanasom|rhansom,rhannon|rhanasom|rhansom,43,welsh_transfer_ood
rhannu,share,rhannu,cy,5.568,high,50,synthetic_past_2p,synthetic,past,2p,2nd,plural,,False,,,,rhannoch,rhanasoch|rhansoch,rhannoch|rhanasoch|rhansoch,43,welsh_transfer_ood
rhannu,share,rhannu,cy,5.568,high,50,synthetic_past_3p,synthetic,past,3p,3rd,plural,,False,,,,rhannon,rhanasant|rhanson,rhannon|rhanasant|rhanson,43,welsh_transfer_ood
rhannu,share,rhannu,cy,5.568,high,50,synthetic_imperfect_1s,synthetic,imperfect,1s,1st,singular,,False,,,,rhannwn,,rhannwn,43,welsh_transfer_ood
