lemma,enlemma,verbnoun,lang,cell_id,zipf,tier,freq_rank,raw,per_million,seed,experiment
rhannu,share,rhannu,cy,high,5.568,high,50,3946,370.13,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,high,5.195,high,114,1671,156.74,43,welsh_transfer_ood
pleidleisio,vote,pleidleisio,cy,high,5.016,high,170,1107,103.84,43,welsh_transfer_ood
gwrthod,refuse,gwrthod,cy,high,4.66,high,328,487,45.68,43,welsh_transfer_ood
meddu,own,meddu,cy,high,4.51,high,420,345,32.36,43,welsh_transfer_ood
llofnodi,sign,llofnodi,cy,high,4.336,high,510,231,21.67,43,welsh_transfer_ood
ymddiheuro,apologise,ymddiheuro,cy,high,4.324,high,520,225,21.1,43,welsh_transfer_ood
huno,sleep,huno,cy,high,4.271,high,557,199,18.67,43,welsh_transfer_ood
goresgyn,overcome,goresgyn,cy,high,4.136,high,668,146,13.69,43,welsh_transfer_ood
tagu,choke,tagu,cy,high,4.029,high,746,114,10.69,43,welsh_transfer_ood
esblygu,explain,esblygu,cy,high,3.997,high,774,106,9.94,43,welsh_transfer_ood
diystyru,despise,diystyru,cy,high,3.993,high,777,105,9.85,43,welsh_transfer_ood
melysu,sweeten,melysu,cy,low,3.117,low,1678,14,1.31,43,welsh_transfer_ood
ymbaratoi,make_ready,ymbaratoi,cy,low,3.117,low,1692,14,1.31,43,welsh_transfer_ood
andwyo,spoil,andwyo,cy,low,3.013,low,1762,11,1.03,43,welsh_transfer_ood
cynghreirio,ally,cynghreirio,cy,low,2.973,low,1802,10,0.94,43,welsh_transfer_ood
benthycio,borrow,benthycio,cy,low,2.924,low,1840,9,0.84,43,welsh_transfer_ood
ymochel,avoid,ymochel,cy,low,2.82,low,1985,7,0.66,43,welsh_transfer_ood
cymrodeddu,arbitrate,cymrodeddu,cy,low,2.672,low,2075,5,0.47,43,welsh_transfer_ood
gwreichioni,sparkle,gwreichioni,cy,low,2.672,low,2089,5,0.47,43,welsh_transfer_ood
anhrefnu,disarrange,anhrefnu,cy,low,2.447,low,2206,3,0.28,43,welsh_transfer_ood
buddio,profit,buddio,cy,low,2.447,low,2219,3,0.28,43,welsh_transfer_ood
cerflunio,sculpt,cerflunio,cy,low,2.447,low,2226,3,0.28,43,welsh_transfer_ood
anghymhwyso,disqualify,anghymhwyso,cy,low,2.279,low,2323,2,0.19,43,welsh_transfer_ood
cyfarch,greet,cyfarch,cy,mid,3.87,mid,890,79,7.41,43,welsh_transfer_ood
gweddnewid,transform,gweddnewid,cy,mid,3.765,mid,987,62,5.82,43,welsh_transfer_ood
gwrthdroi,reverse,gwrthdroi,cy,mid,3.736,mid,1020,58,5.44,43,welsh_transfer_ood
ymresymu,reason,ymresymu,cy,mid,3.516,mid,1241,35,3.28,43,welsh_transfer_ood
cyplysu,couple,cyplysu,cy,mid,3.477,mid,1264,32,3.0,43,welsh_transfer_ood
arallgyfeirio,redirect,arallgyfeirio,cy,mid,3.435,mid,1306,29,2.72,43,welsh_transfer_ood
chwyldroi,revolve,chwyldroi,cy,mid,3.435,mid,1308,29,2.72,43,welsh_transfer_ood
cyflyru,condition,cyflyru,cy,mid,3.352,mid,1396,24,2.25,43,welsh_transfer_ood
trugarhau,pity,trugarhau,cy,mid,3.334,mid,1432,23,2.16,43,welsh_transfer_ood
goddiweddyd,overtake,goddiweddyd,cy,mid,3.294,mid,1464,21,1.97,43,welsh_transfer_ood
saernïo,fashion,saernïo,cy,mid,3.274,mid,1501,20,1.88,43,welsh_transfer_ood
dodrefnu,furnish,dodrefnu,cy,mid,3.25,mid,1522,19,1.78,43,welsh_transfer_ood
