benchmark,lang,verb,tense,person,number,expected_form,cefr_level,zipf,tier,irregular
spanish_basic,es,comer,preterite,1st,plural,comimos,A1,6.746,common,no
spanish_basic,es,vivir,future,3rd,singular,vivirá,A1,5.772,common,no
spanish_basic,es,hablar,present,2nd,singular,hablas,A1,5.905,common,no
spanish_basic,es,escribir,preterite,3rd,plural,escribieron,A1,5.451,common,no
spanish_basic,es,correr,present,1st,singular,corro,A1,5.062,common,no
spanish_basic_grid,es,comer,present,1st,singular,como,A1,6.746,common,no
spanish_basic_grid,es,comer,present,2nd,singular,comes,A1,6.746,common,no
spanish_basic_grid,es,comer,present,3rd,plural,comen,A1,6.746,common,no
spanish_basic_grid,es,comer,preterite,1st,plural,comimos,A1,6.746,common,no
spanish_basic_grid,es,comer,preterite,3rd,plural,comieron,A1,6.746,common,no
spanish_basic_grid,es,comer,future,1st,singular,comeré,A1,6.746,common,no
spanish_basic_grid,es,comer,future,3rd,singular,comerá,A1,6.746,common,no
spanish_basic_grid,es,comer,future,2nd,plural,comeréis,A1,6.746,common,no
spanish_basic_grid,es,comer,imperfect,1st,plural,comíamos,A1,6.746,common,no
spanish_basic_grid,es,comer,conditional,3rd,singular,comería,A1,6.746,common,no
spanish_basic_grid,es,vivir,present,1st,singular,vivo,A1,5.772,common,no
spanish_basic_grid,es,vivir,present,2nd,singular,vives,A1,5.772,common,no
spanish_basic_grid,es,vivir,present,3rd,plural,viven,A1,5.772,common,no
spanish_basic_grid,es,vivir,preterite,1st,plural,vivimos,A1,5.772,common,no
spanish_basic_grid,es,vivir,preterite,3rd,plural,vivieron,A1,5.772,common,no
spanish_basic_grid,es,vivir,future,1st,singular,viviré,A1,5.772,common,no
spanish_basic_grid,es,vivir,future,3rd,singular,vivirá,A1,5.772,common,no
spanish_basic_grid,es,vivir,future,2nd,plural,viviréis,A1,5.772,common,no
spanish_basic_grid,es,vivir,imperfect,1st,plural,vivíamos,A1,5.772,common,no
spanish_basic_grid,es,vivir,conditional,3rd,singular,viviría,A1,5.772,common,no
spanish_basic_grid,es,hablar,present,1st,singular,hablo,A1,5.905,common,no
spanish_basic_grid,es,hablar,present,2nd,singular,hablas,A1,5.905,common,no
spanish_basic_grid,es,hablar,present,3rd,plural,hablan,A1,5.905,common,no
spanish_basic_grid,es,hablar,preterite,1st,plural,hablamos,A1,5.905,common,no
