verb,lang,cell_id,zipf,tier,irregular_probed,in_census,probed_tense,probed_person,probed_number,gold_past_1sg,gold_past_1sg_alts,gold_participle,gold_participle_alts,ending,seed,experiment
bear,en,high_irregular,5.354,high,yes,yes,past,1st,singular,bore,,borne,,,42,exp1_isolation
blow,en,high_irregular,4.978,high,yes,yes,past,1st,singular,blew,,blown,,,42,exp1_isolation
forget,en,high_irregular,5.287,high,yes,yes,past,1st,singular,forgot,,forgotten,,,42,exp1_isolation
keep,en,high_irregular,5.828,high,yes,yes,past,1st,singular,kept,,kept,,,42,exp1_isolation
mean,en,high_irregular,5.889,high,yes,yes,past,1st,singular,meant,,meant,,,42,exp1_isolation
slide,en,high_irregular,4.568,high,yes,yes,past,1st,singular,slid,,slid,,,42,exp1_isolation
spit,en,high_irregular,4.122,high,yes,yes,past,1st,singular,spat,,spat,,,42,exp1_isolation
steal,en,high_irregular,4.954,high,yes,yes,past,1st,singular,stole,,stolen,,,42,exp1_isolation
sweep,en,high_irregular,4.422,high,yes,yes,past,1st,singular,swept,,swept,,,42,exp1_isolation
tell,en,high_irregular,5.919,high,yes,yes,past,1st,singular,told,,told,,,42,exp1_isolation
assure,en,high_regular,4.419,high,no,yes,past,1st,singular,assured,,assured,,,42,exp1_isolation
change,en,high_regular,5.815,high,no,yes,past,1st,singular,changed,,changed,,,42,exp1_isolation
dump,en,high_regular,4.429,high,no,yes,past,1st,singular,dumped,,dumped,,,42,exp1_isolation
layer,en,high_regular,4.640,high,no,yes,past,1st,singular,layered,,layered,,,42,exp1_isolation
mention,en,high_regular,5.144,high,no,yes,past,1st,singular,mentioned,,mentioned,,,42,exp1_isolation
mess,en,high_regular,4.732,high,no,yes,past,1st,singular,messed,,messed,,,42,exp1_isolation
privilege,en,high_regular,4.449,high,no,yes,past,1st,singular,privileged,,privileged,,,42,exp1_isolation
save,en,high_regular,5.372,high,no,yes,past,1st,singular,saved,,saved,,,42,exp1_isolation
scrap,en,high_regular,4.150,high,no,yes,past,1st,singular,scraped,,scraped,,,42,exp1_isolation
settle,en,high_regular,4.781,high,no,yes,past,1st,singular,settled,,settled,,,42,exp1_isolation
beseech,en,low_irregular,2.884,low,yes,yes,past,1st,singular,besought,beseeched,besought,beseeched,,42,exp1_isolation
betide,en,low_irregular,2.061,low,yes,yes,past,1st,singular,betid,betided,betid,betided,,42,exp1_isolation
forswear,en,low_irregular,1.814,low,yes,yes,past,1st,singular,forswore,,forsworn,,,42,exp1_isolation
gainsay,en,low_irregular,1.831,low,yes,yes,past,1st,singular,gainsaid,,gainsaid,,,42,exp1_isolation
gird,en,low_irregular,2.546,low,yes,yes,past,1st,singular,girt,girded,girt,girded,,42,exp1_isolation
outdo,en,low_irregular,2.797,low,yes,yes,past,1st,singular,outdid,,outdone,,,42,exp1_isolation
shrive,en,low_irregular,2.198,low,yes,yes,past,1st,singular,shrove,shrived,shriven,shrived,,42,exp1_isolation
slink,en,low_irregular,2.647,low,yes,yes,past,1st,singular,slunk,slinked,slunk,slinked,,42,exp1_isolation
strew,en,low_irregular,2.017,low,yes,yes,past,1st,singular,strewed,,strewn,strewed,,42,exp1_isolation
unbind,en,low_irregular,2.080,low,yes,yes,past,1st,singular,unbound,,unbound,,,42,exp1_isolation
abjure,en,low_regular,2.140,low,no,yes,past,1st,singular,abjured,,abjured,,,42,exp1_isolation
bandy,en,low_regular,2.778,low,no,yes,past,1st,singular,bandied,,bandied,,,42,exp1_isolation
barbeque,en,low_regular,2.770,low,no,yes,past,1st,singular,barbecued,barbequed,barbecued,barbequed,,42,exp1_isolation
cockle,en,low_regular,2.638,low,no,yes,past,1st,singular,cockled,,cockled,,,42,exp1_isolation
flub,en,low_regular,2.328,low,no,yes,past,1st,singular,flubbed,,flubbed,,,42,exp1_isolation
idolize,en,low_regular,2.983,low,no,yes,past,1st,singular,idolized,,idolized,,,42,exp1_isolation
matriculate,en,low_regular,2.582,low,no,yes,past,1st,singular,matriculated,,matriculated,,,42,exp1_isolation
presage,en,low_regular,2.647,low,no,yes,past,1st,singular,presaged,,presaged,,,42,exp1_isolation
reforge,en,low_regular,1.993,low,no,yes,past,1st,singular,reforged,,reforged,,,42,exp1_isolation
upend,en,low_regular,2.733,low,no,yes,past,1st,singular,upended,,upended,,,42,exp1_isolation
cling,en,mid_irregular,3.789,mid,yes,yes,past,1st,singular,clung,,clung,,,42,exp1_isolation
forego,en,mid_irregular,3.277,mid,yes,yes,past,1st,singular,forewent,,foregone,,,42,exp1_isolation
forgo,en,mid_irregular,3.098,mid,yes,yes,past,1st,singular,forwent,,forgone,,,42,exp1_isolation
heave,en,mid_irregular,3.283,mid,yes,yes,past,1st,singular,heaved,hove,heaved,hoven,,42,exp1_isolation
knit,en,mid_irregular,3.696,mid,yes,yes,past,1st,singular,knit,knitted,knit,knitted,,42,exp1_isolation
overthrow,en,mid_irregular,3.681,mid,yes,yes,past,1st,singular,overthrew,,overthrown,,,42,exp1_isolation
stink,en,mid_irregular,3.743,mid,yes,yes,past,1st,singular,stank,stunk,stunk,,,42,exp1_isolation
wed,en,mid_irregular,3.692,mid,yes,yes,past,1st,singular,wed,wedded,wed,wedded,,42,exp1_isolation
weep,en,mid_irregular,3.741,mid,yes,yes,past,1st,singular,wept,,wept,,,42,exp1_isolation
withhold,en,mid_irregular,3.639,mid,yes,yes,past,1st,singular,withheld,,withheld,,,42,exp1_isolation
declassify,en,mid_regular,3.005,mid,no,yes,past,1st,singular,declassified,,declassified,,,42,exp1_isolation
eject,en,mid_regular,3.579,mid,no,yes,past,1st,singular,ejected,,ejected,,,42,exp1_isolation
misguide,en,mid_regular,3.432,mid,no,yes,past,1st,singular,misguided,,misguided,,,42,exp1_isolation
overestimate,en,mid_regular,3.195,mid,no,yes,past,1st,singular,overestimated,,overestimated,,,42,exp1_isolation
overreact,en,mid_regular,3.393,mid,no,yes,past,1st,singular,overreacted,,overreacted,,,42,exp1_isolation
pantomime,en,mid_regular,3.072,mid,no,yes,past,1st,singular,pantomimed,,pantomimed,,,42,exp1_isolation
pivot,en,mid_regular,3.638,mid,no,yes,past,1st,singular,pivoted,,pivoted,,,42,exp1_isolation
resonate,en,mid_regular,3.603,mid,no,yes,past,1st,singular,resonated,,resonated,,,42,exp1_isolation
scrape,en,mid_regular,3.842,mid,no,yes,past,1st,singular,scraped,,scraped,,,42,exp1_isolation
thieve,en,mid_regular,3.867,mid,no,yes,past,1st,singular,thieved,,thieved,,,42,exp1_isolation
almorzar,es,high_irregular,4.320,high,yes,yes,preterite,1st,singular,almorcé,,almorzado,,ar,42,exp1_isolation
autorizar,es,high_irregular,4.275,high,yes,yes,preterite,1st,singular,autoricé,,autorizado,,ar,42,exp1_isolation
calzar,es,high_irregular,3.930,high,yes,yes,preterite,1st,singular,calcé,,calzado,,ar,42,exp1_isolation
cargar,es,high_irregular,5.393,high,yes,yes,preterite,1st,singular,cargué,,cargado,,ar,42,exp1_isolation
chocar,es,high_irregular,4.108,high,yes,yes,preterite,1st,singular,choqué,,chocado,,ar,42,exp1_isolation
especificar,es,high_irregular,4.143,high,yes,yes,preterite,1st,singular,especifiqué,,especificado,,ar,42,exp1_isolation
estar,es,high_irregular,6.711,high,yes,yes,preterite,1st,singular,estuve,,estado,,ar,42,exp1_isolation
exponer,es,high_irregular,4.614,high,yes,yes,preterite,1st,singular,expuse,,expuesto,,er,42,exp1_isolation
gozar,es,high_irregular,4.298,high,yes,yes,preterite,1st,singular,gocé,,gozado,,ar,42,exp1_isolation
rezar,es,high_irregular,4.349,high,yes,yes,preterite,1st,singular,recé,,rezado,,ar,42,exp1_isolation
aburrir,es,high_regular,4.356,high,no,yes,preterite,1st,singular,aburrí,,aburrido,,ir,42,exp1_isolation
acceder,es,high_regular,4.650,high,no,yes,preterite,1st,singular,accedí,,accedido,,er,42,exp1_isolation
atar,es,high_regular,4.151,high,no,yes,preterite,1st,singular,até,,atado,,ar,42,exp1_isolation
conceder,es,high_regular,4.363,high,no,yes,preterite,1st,singular,concedí,,concedido,,er,42,exp1_isolation
durar,es,high_regular,5.173,high,no,yes,preterite,1st,singular,duré,,durado,,ar,42,exp1_isolation
herir,es,high_regular,4.470,high,no,yes,preterite,1st,singular,herí,,herido,,ir,42,exp1_isolation
perdonar,es,high_regular,4.472,high,no,yes,preterite,1st,singular,perdoné,,perdonado,,ar,42,exp1_isolation
remitir,es,high_regular,3.895,high,no,yes,preterite,1st,singular,remití,,remitido,,ir,42,exp1_isolation
remover,es,high_regular,3.896,high,no,yes,preterite,1st,singular,removí,,removido,,er,42,exp1_isolation
sobrepasar,es,high_regular,3.852,high,no,yes,preterite,1st,singular,sobrepasé,,sobrepasado,,ar,42,exp1_isolation
atosigar,es,low_irregular,1.991,low,yes,yes,preterite,1st,singular,atosigué,,atosigado,,ar,42,exp1_isolation
avenir,es,low_irregular,2.540,low,yes,yes,preterite,1st,singular,avine,,avenido,,ir,42,exp1_isolation
coproducir,es,low_irregular,2.104,low,yes,yes,preterite,1st,singular,coproduje,,coproducido,,ir,42,exp1_isolation
descolonizar,es,low_irregular,1.910,low,yes,yes,preterite,1st,singular,descolonicé,,descolonizado,,ar,42,exp1_isolation
economizar,es,low_irregular,2.671,low,yes,yes,preterite,1st,singular,economicé,,economizado,,ar,42,exp1_isolation
empalagar,es,low_irregular,2.119,low,yes,yes,preterite,1st,singular,empalagué,,empalagado,,ar,42,exp1_isolation
moralizar,es,low_irregular,2.112,low,yes,yes,preterite,1st,singular,moralicé,,moralizado,,ar,42,exp1_isolation
retraer,es,low_irregular,2.827,low,yes,yes,preterite,1st,singular,retraje,,retraído,,er,42,exp1_isolation
señalizar,es,low_irregular,2.707,low,yes,yes,preterite,1st,singular,señalicé,,señalizado,,ar,42,exp1_isolation
trasponer,es,low_irregular,2.191,low,yes,yes,preterite,1st,singular,traspuse,,traspuesto,,er,42,exp1_isolation
aclimatar,es,low_regular,2.270,low,no,yes,preterite,1st,singular,aclimaté,,aclimatado,,ar,42,exp1_isolation
amonestar,es,low_regular,2.853,low,no,yes,preterite,1st,singular,amonesté,,amonestado,,ar,42,exp1_isolation
cañonear,es,low_regular,2.193,low,no,yes,preterite,1st,singular,cañoneé,,cañoneado,,ar,42,exp1_isolation
descongestionar,es,low_regular,2.494,low,no,yes,preterite,1st,singular,descongestioné,,descongestionado,,ar,42,exp1_isolation
desfavorecer,es,low_regular,2.264,low,no,yes,preterite,1st,singular,desfavorecí,,desfavorecido,,er,42,exp1_isolation
fenecer,es,low_regular,2.382,low,no,yes,preterite,1st,singular,fenecí,,fenecido,,er,42,exp1_isolation
ocluir,es,low_regular,1.781,low,no,yes,preterite,1st,singular,ocluí,,ocluido,,ir,42,exp1_isolation
rebanar,es,low_regular,2.468,low,no,yes,preterite,1st,singular,rebané,,rebanado,,ar,42,exp1_isolation
reemprender,es,low_regular,1.986,low,no,yes,preterite,1st,singular,reemprendí,,reemprendido,,er,42,exp1_isolation
ungir,es,low_regular,2.819,low,no,yes,preterite,1st,singular,ungí,,ungido,,ir,42,exp1_isolation
cabalgar,es,mid_irregular,3.379,mid,yes,yes,preterite,1st,singular,cabalgué,,cabalgado,,ar,42,exp1_isolation
contraatacar,es,mid_irregular,3.096,mid,yes,yes,preterite,1st,singular,contraataqué,,contraatacado,,ar,42,exp1_isolation
desahogar,es,mid_irregular,3.305,mid,yes,yes,preterite,1st,singular,desahogué,,desahogado,,ar,42,exp1_isolation
esterilizar,es,mid_irregular,3.058,mid,yes,yes,preterite,1st,singular,esterilicé,,esterilizado,,ar,42,exp1_isolation
indagar,es,mid_irregular,3.623,mid,yes,yes,preterite,1st,singular,indagué,,indagado,,ar,42,exp1_isolation
industrializar,es,mid_irregular,2.867,mid,yes,yes,preterite,1st,singular,industrialicé,,industrializado,,ar,42,exp1_isolation
madrugar,es,mid_irregular,3.257,mid,yes,yes,preterite,1st,singular,madrugué,,madrugado,,ar,42,exp1_isolation
menguar,es,mid_irregular,2.998,mid,yes,yes,preterite,1st,singular,mengüé,,menguado,,ar,42,exp1_isolation
sesgar,es,mid_irregular,3.599,mid,yes,yes,preterite,1st,singular,sesgué,,sesgado,,ar,42,exp1_isolation
sintonizar,es,mid_irregular,3.244,mid,yes,yes,preterite,1st,singular,sintonicé,,sintonizado,,ar,42,exp1_isolation
adolecer,es,mid_regular,2.860,mid,no,yes,preterite,1st,singular,adolecí,,adolecido,,er,42,exp1_isolation
