verb,lang,cell_id,zipf,tier,irregular_probed,in_census,probed_tense,probed_person,probed_number,gold_past_1sg,gold_past_1sg_alts,gold_participle,gold_participle_alts,ending,seed,experiment
buscar,es,high_irregular,5.628,high,yes,yes,preterite,1st,singular,busqué,,buscado,,ar,42,direction_hl50
cercar,es,high_irregular,5.383,high,yes,yes,preterite,1st,singular,cerqué,,cercado,,ar,42,direction_hl50
desplazar,es,high_irregular,3.985,high,yes,yes,preterite,1st,singular,desplacé,,desplazado,,ar,42,direction_hl50
esperanzar,es,high_irregular,4.962,high,yes,yes,preterite,1st,singular,esperancé,,esperanzado,,ar,42,direction_hl50
fincar,es,high_irregular,4.157,high,yes,yes,preterite,1st,singular,finqué,,fincado,,ar,42,direction_hl50
imponer,es,high_irregular,4.878,high,yes,yes,preterite,1st,singular,impuse,,impuesto,,er,42,direction_hl50
mazar,es,high_irregular,3.836,high,yes,yes,preterite,1st,singular,macé,,mazado,,ar,42,direction_hl50
navegar,es,high_irregular,4.149,high,yes,yes,preterite,1st,singular,navegué,,navegado,,ar,42,direction_hl50
obtener,es,high_irregular,5.116,high,yes,yes,preterite,1st,singular,obtuve,,obtenido,,er,42,direction_hl50
poner,es,high_irregular,5.805,high,yes,yes,preterite,1st,singular,puse,,puesto,,er,42,direction_hl50
predecir,es,high_irregular,3.921,high,yes,yes,preterite,1st,singular,predije,,predicho,,ir,42,direction_hl50
recargar,es,high_irregular,3.898,high,yes,yes,preterite,1st,singular,recargué,,recargado,,ar,42,direction_hl50
tocar,es,high_irregular,5.148,high,yes,yes,preterite,1st,singular,toqué,,tocado,,ar,42,direction_hl50
comer,es,high_regular,6.746,high,no,yes,preterite,1st,singular,comí,,comido,,er,42,direction_hl50
conceder,es,high_regular,4.363,high,no,yes,preterite,1st,singular,concedí,,concedido,,er,42,direction_hl50
enriquecer,es,high_regular,3.901,high,no,yes,preterite,1st,singular,enriquecí,,enriquecido,,er,42,direction_hl50
esconder,es,high_regular,4.530,high,no,yes,preterite,1st,singular,escondí,,escondido,,er,42,direction_hl50
fortalecer,es,high_regular,4.313,high,no,yes,preterite,1st,singular,fortalecí,,fortalecido,,er,42,direction_hl50
herir,es,high_regular,4.470,high,no,yes,preterite,1st,singular,herí,,herido,,ir,42,direction_hl50
perdonar,es,high_regular,4.472,high,no,yes,preterite,1st,singular,perdoné,,perdonado,,ar,42,direction_hl50
poseer,es,high_regular,4.729,high,no,yes,preterite,1st,singular,poseí,,poseso,,er,42,direction_hl50
remitir,es,high_regular,3.895,high,no,yes,preterite,1st,singular,remití,,remitido,,ir,42,direction_hl50
remover,es,high_regular,3.896,high,no,yes,preterite,1st,singular,removí,,removido,,er,42,direction_hl50
