lemma,enlemma,verbnoun,lang,zipf,tier,freq_rank,cell_id,construction,tense,person,probed_person,probed_number,particle,requires_soft_mutation,aux_lemma,aux_gold,aux_gold_alts,gold,gold_alts,match_forms,seed,experiment
rhoi,give,rhoi,cy,6.288,high,7,synthetic_present_1s,synthetic,present,1s,1st,singular,,False,,,,rhof,,rhof,42,welsh_transfer
rhoi,give,rhoi,cy,6.288,high,7,synthetic_present_2s,synthetic,present,2s,2nd,singular,,False,,,,rhoi,,rhoi,42,welsh_transfer
rhoi,give,rhoi,cy,6.288,high,7,synthetic_present_3s,synthetic,present,3s,3rd,singular,,False,,,,rhy,dyry,rhy|dyry,42,welsh_transfer
rhoi,give,rhoi,cy,6.288,high,7,synthetic_present_1p,synthetic,present,1p,1st,plural,,False,,,,rhown,,rhown,42,welsh_transfer
rhoi,give,rhoi,cy,6.288,high,7,synthetic_present_2p,synthetic,present,2p,2nd,plural,,False,,,,rhowch,,rhowch,42,welsh_transfer
rhoi,give,rhoi,cy,6.288,high,7,synthetic_present_3p,synthetic,present,3p,3rd,plural,,False,,,,rhôn,rhônt,rhôn|rhônt,42,welsh_transfer
rhoi,give,rhoi,cy,6.288,high,7,synthetic_past_1s,synthetic,past,1s,1st,singular,,False,,,,rhois,,rhois,42,welsh_transfer
rhoi,give,rhoi,cy,6.288,high,7,synthetic_past_2s,synthetic,past,2s,2nd,singular,,False,,,,rhoist,,rhoist,42,welsh_transfer
rhoi,give,rhoi,cy,6.288,high,7,synthetic_past_3s,synthetic,past,3s,3rd,singular,,False,,,,roth,rhodd|rhoes,roth|rhodd|rhoes,42,welsh_transfer
rhoi,give,rhoi,cy,6.288,high,7,synthetic_past_1p,synthetic,past,1p,1st,plural,,False,,,,rhoeon,rhoesom|rhoeson,rhoeon|rhoesom|rhoeson,42,welsh_transfer
rhoi,give,rhoi,cy,6.288,high,7,synthetic_past_2p,synthetic,past,2p,2nd,plural,,False,,,,rhoeoch,rhoesoch|rhowsoch,rhoeoch|rhoesoch|rhowsoch,42,welsh_transfer
rhoi,give,rhoi,cy,6.288,high,7,synthetic_past_3p,synthetic,past,3p,3rd,plural,,False,,,,rhoeon,rhoesant,rhoeon|rhoesant,42,welsh_transfer
rhoi,give,rhoi,cy,6.288,high,7,synthetic_imperfect_1s,synthetic,imperfect,1s,1st,singular,,False,,,,rhown,,rhown,42,welsh_transfer
rhoi,give,rhoi,cy,6.288,high,7,synthetic_imperfect_2s,synthetic,imperfect,2s,2nd,singular,,False,,,,rhoet,rhoit,rhoet|rhoit,42,welsh_transfer
rhoi,give,rhoi,cy,6.288,high,7,synthetic_imperfect_3s,synthetic,imperfect,3s,3rd,singular,,False,,,,rhôi,,rhôi,42,welsh_transfer
rhoi,give,rhoi,cy,6.288,high,7,synthetic_imperfect_1p,synthetic,imperfect,1p,1st,plural,,False,,,,rhoem,,rhoem,42,welsh_transfer
rhoi,give,rhoi,cy,6.288,high,7,synthetic_imperfect_2p,synthetic,imperfect,2p,2nd,plural,,False,,,,rhoech,,rhoech,42,welsh_transfer
rhoi,give,rhoi,cy,6.288,high,7,synthetic_imperfect_3p,synthetic,imperfect,3p,3rd,plural,,False,,,,rhoent,,rhoent,42,welsh_transfer
rhoi,give,rhoi,cy,6.288,high,7,periphrastic_present_1s,periphrastic,present,1s,1st,singular,yn,False,bod,rwyf,wyf|ydwyf|dw|ydw|rwy,rhoi,dyroi|rhoid,rwyf|wyf|ydwyf|dw|ydw|rwy|rhoi|dyroi|rhoid,42,welsh_transfer
rhoi,give,rhoi,cy,6.288,high,7,periphrastic_present_2s,periphrastic,present,2s,2nd,singular,yn,False,bod,rwyt,wyt|ydwyt,rhoi,dyroi|rhoid,rwyt|wyt|ydwyt|rhoi|dyroi|rhoid,42,welsh_transfer
