verb,lang,cell_id,zipf,tier,irregular_probed,in_census,probed_tense,probed_person,probed_number,gold_past_1sg,gold_past_1sg_alts,gold_participle,gold_participle_alts,ending,seed,experiment
apoyar,es,high_regular,5.455,high,no,yes,preterite,1st,singular,apoyé,,apoyado,,ar,43,lora_ood
caminar,es,high_regular,5.427,high,no,yes,preterite,1st,singular,caminé,,caminado,,ar,43,lora_ood
casar,es,high_regular,6.087,high,no,yes,preterite,1st,singular,casé,,casado,,ar,43,lora_ood
conocer,es,high_regular,5.697,high,no,yes,preterite,1st,singular,conocí,,conocido,,er,43,lora_ood
necesitar,es,high_regular,5.680,high,no,yes,preterite,1st,singular,necesité,,necesitado,,ar,43,lora_ood
partir,es,high_regular,6.233,high,no,yes,preterite,1st,singular,partí,,partido,,ir,43,lora_ood
perder,es,high_regular,5.455,high,no,yes,preterite,1st,singular,perdí,,perdido,,er,43,lora_ood
saber,es,high_irregular,6.117,high,yes,yes,preterite,1st,singular,supe,,sabido,,er,43,lora_ood
salir,es,high_regular,5.685,high,no,yes,preterite,1st,singular,salí,,salido,,ir,43,lora_ood
sentir,es,high_regular,5.791,high,no,yes,preterite,1st,singular,sentí,,sentido,,ir,43,lora_ood
venir,es,high_irregular,5.625,high,yes,yes,preterite,1st,singular,vine,,venido,,ir,43,lora_ood
volver,es,high_regular,5.585,high,no,yes,preterite,1st,singular,volví,,vuelto,,er,43,lora_ood
adormecer,es,low_regular,2.845,low,no,yes,preterite,1st,singular,adormecí,,adormecido,,er,43,lora_ood
amonestar,es,low_regular,2.853,low,no,yes,preterite,1st,singular,amonesté,,amonestado,,ar,43,lora_ood
anteceder,es,low_regular,2.843,low,no,yes,preterite,1st,singular,antecedí,,antecedido,,er,43,lora_ood
aullar,es,low_regular,2.855,low,no,yes,preterite,1st,singular,aullé,,aullado,,ar,43,lora_ood
balbucear,es,low_regular,2.856,low,no,yes,preterite,1st,singular,balbuceé,,balbuceado,,ar,43,lora_ood
desatender,es,low_regular,2.813,low,no,yes,preterite,1st,singular,desatendí,,desatendido,,er,43,lora_ood
desmerecer,es,low_regular,2.836,low,no,yes,preterite,1st,singular,desmerecí,,desmerecido,,er,43,lora_ood
engullir,es,low_regular,2.835,low,no,yes,preterite,1st,singular,engullí,,engullido,,ir,43,lora_ood
reanimar,es,low_regular,2.851,low,no,yes,preterite,1st,singular,reanimé,,reanimado,,ar,43,lora_ood
recriminar,es,low_regular,2.833,low,no,yes,preterite,1st,singular,recriminé,,recriminado,,ar,43,lora_ood
subcontratar,es,low_regular,2.855,low,no,yes,preterite,1st,singular,subcontraté,,subcontratado,,ar,43,lora_ood
tararear,es,low_regular,2.848,low,no,yes,preterite,1st,singular,tarareé,,tarareado,,ar,43,lora_ood
cocer,es,mid_regular,3.806,mid,no,yes,preterite,1st,singular,cocí,,cocido,,er,43,lora_ood
elogiar,es,mid_regular,3.796,mid,no,yes,preterite,1st,singular,elogié,,elogiado,,ar,43,lora_ood
envejecer,es,mid_regular,3.759,mid,no,yes,preterite,1st,singular,envejecí,,envejecido,,er,43,lora_ood
humillar,es,mid_regular,3.755,mid,no,yes,preterite,1st,singular,humillé,,humillado,,ar,43,lora_ood
insinuar,es,mid_regular,3.761,mid,no,yes,preterite,1st,singular,insinué,,insinuado,,ar,43,lora_ood
persistir,es,mid_regular,3.802,mid,no,yes,preterite,1st,singular,persistí,,persistido,,ir,43,lora_ood
prosperar,es,mid_regular,3.765,mid,no,yes,preterite,1st,singular,prosperé,,prosperado,,ar,43,lora_ood
protagonizar,es,mid_irregular,3.771,mid,yes,yes,preterite,1st,singular,protagonicé,,protagonizado,,ar,43,lora_ood
reponer,es,mid_irregular,3.799,mid,yes,yes,preterite,1st,singular,repuse,,repuesto,,er,43,lora_ood
revolver,es,mid_regular,3.785,mid,no,yes,preterite,1st,singular,revolví,,revuelto,,er,43,lora_ood
sacudir,es,mid_regular,3.813,mid,no,yes,preterite,1st,singular,sacudí,,sacudido,,ir,43,lora_ood
suplicar,es,mid_irregular,3.764,mid,yes,yes,preterite,1st,singular,supliqué,,suplicado,,ar,43,lora_ood
