verb,lang,cell_id,zipf,tier,irregular_probed,in_census,probed_tense,probed_person,probed_number,gold_past_1sg,gold_past_1sg_alts,gold_participle,gold_participle_alts,ending,seed,experiment
awake,en,high_irregular,4.152,high,yes,yes,past,1st,singular,awoke,,awoken,,,42,diagnostic_1
bet,en,high_irregular,4.896,high,yes,yes,past,1st,singular,bet,betted,bet,betted,,42,diagnostic_1
bring,en,high_irregular,5.626,high,yes,yes,past,1st,singular,brought,,brought,,,42,diagnostic_1
build,en,high_irregular,5.634,high,yes,yes,past,1st,singular,built,,built,,,42,diagnostic_1
catch,en,high_irregular,5.250,high,yes,yes,past,1st,singular,caught,,caught,,,42,diagnostic_1
creep,en,high_irregular,4.127,high,yes,yes,past,1st,singular,crept,,crept,,,42,diagnostic_1
do,en,high_irregular,6.651,high,yes,yes,past,1st,singular,did,,done,,,42,diagnostic_1
eat,en,high_irregular,5.398,high,yes,yes,past,1st,singular,ate,,eaten,,,42,diagnostic_1
feel,en,high_irregular,5.912,high,yes,yes,past,1st,singular,felt,,felt,,,42,diagnostic_1
fight,en,high_irregular,5.477,high,yes,yes,past,1st,singular,fought,,fought,,,42,diagnostic_1
flee,en,high_irregular,4.358,high,yes,yes,past,1st,singular,fled,,fled,,,42,diagnostic_1
forget,en,high_irregular,5.287,high,yes,yes,past,1st,singular,forgot,,forgotten,,,42,diagnostic_1
hear,en,high_irregular,5.632,high,yes,yes,past,1st,singular,heard,,heard,,,42,diagnostic_1
hold,en,high_irregular,5.650,high,yes,yes,past,1st,singular,held,,held,,,42,diagnostic_1
hurt,en,high_irregular,5.079,high,yes,yes,past,1st,singular,hurt,,hurt,,,42,diagnostic_1
know,en,high_irregular,6.264,high,yes,yes,past,1st,singular,knew,,known,,,42,diagnostic_1
leave,en,high_irregular,5.899,high,yes,yes,past,1st,singular,left,,left,,,42,diagnostic_1
set,en,high_irregular,5.696,high,yes,yes,past,1st,singular,set,,set,,,42,diagnostic_1
shed,en,high_irregular,4.301,high,yes,yes,past,1st,singular,shed,,shed,,,42,diagnostic_1
shut,en,high_irregular,4.836,high,yes,yes,past,1st,singular,shut,,shut,,,42,diagnostic_1
speak,en,high_irregular,5.453,high,yes,yes,past,1st,singular,spoke,,spoken,,,42,diagnostic_1
strive,en,high_irregular,4.001,high,yes,yes,past,1st,singular,strove,strived,striven,,,42,diagnostic_1
swim,en,high_irregular,4.668,high,yes,yes,past,1st,singular,swam,,swum,,,42,diagnostic_1
win,en,high_irregular,5.739,high,yes,yes,past,1st,singular,won,,won,,,42,diagnostic_1
write,en,high_irregular,5.681,high,yes,yes,past,1st,singular,wrote,,written,,,42,diagnostic_1
access,en,high_regular,5.089,high,no,yes,past,1st,singular,accessed,,accessed,,,42,diagnostic_1
adore,en,high_regular,3.934,high,no,yes,past,1st,singular,adored,,adored,,,42,diagnostic_1
adventure,en,high_regular,4.637,high,no,yes,past,1st,singular,adventured,,adventured,,,42,diagnostic_1
appeal,en,high_regular,4.898,high,no,yes,past,1st,singular,appealed,,appealed,,,42,diagnostic_1
arm,en,high_regular,5.204,high,no,yes,past,1st,singular,armed,,armed,,,42,diagnostic_1
breach,en,high_regular,4.224,high,no,yes,past,1st,singular,breached,,breached,,,42,diagnostic_1
change,en,high_regular,5.815,high,no,yes,past,1st,singular,changed,,changed,,,42,diagnostic_1
combine,en,high_regular,4.873,high,no,yes,past,1st,singular,combined,,combined,,,42,diagnostic_1
detail,en,high_regular,5.191,high,no,yes,past,1st,singular,detailed,,detailed,,,42,diagnostic_1
dodge,en,high_regular,4.091,high,no,yes,past,1st,singular,dodged,,dodged,,,42,diagnostic_1
engage,en,high_regular,4.857,high,no,yes,past,1st,singular,engaged,,engaged,,,42,diagnostic_1
frustrate,en,high_regular,4.358,high,no,yes,past,1st,singular,frustrated,,frustrated,,,42,diagnostic_1
garage,en,high_regular,4.284,high,no,yes,past,1st,singular,garaged,,garaged,,,42,diagnostic_1
glow,en,high_regular,4.177,high,no,yes,past,1st,singular,glowed,,glowed,,,42,diagnostic_1
grant,en,high_regular,5.027,high,no,yes,past,1st,singular,granted,,granted,,,42,diagnostic_1
injure,en,high_regular,4.574,high,no,yes,past,1st,singular,injured,,injured,,,42,diagnostic_1
offer,en,high_regular,5.446,high,no,yes,past,1st,singular,offered,,offered,,,42,diagnostic_1
oil,en,high_regular,5.129,high,no,yes,past,1st,singular,oiled,,oiled,,,42,diagnostic_1
reinforce,en,high_regular,4.191,high,no,yes,past,1st,singular,reinforced,,reinforced,,,42,diagnostic_1
reward,en,high_regular,4.662,high,no,yes,past,1st,singular,rewarded,,rewarded,,,42,diagnostic_1
smooth,en,high_regular,4.433,high,no,yes,past,1st,singular,smoothed,,smoothed,,,42,diagnostic_1
thrill,en,high_regular,4.290,high,no,yes,past,1st,singular,thrilled,,thrilled,,,42,diagnostic_1
trade,en,high_regular,5.301,high,no,yes,past,1st,singular,traded,,traded,,,42,diagnostic_1
wash,en,high_regular,4.740,high,no,yes,past,1st,singular,washed,,washed,,,42,diagnostic_1
weather,en,high_regular,4.887,high,no,yes,past,1st,singular,weathered,,weathered,,,42,diagnostic_1
backbite,en,low_irregular,2.078,low,yes,yes,past,1st,singular,backbit,,backbitten,,,42,diagnostic_1
backslide,en,low_irregular,2.420,low,yes,yes,past,1st,singular,backslid,,backslidden,backslid,,42,diagnostic_1
befall,en,low_irregular,2.864,low,yes,yes,past,1st,singular,befell,,befallen,,,42,diagnostic_1
beget,en,low_irregular,2.808,low,yes,yes,past,1st,singular,begot,,begotten,,,42,diagnostic_1
bivouac,en,low_irregular,2.321,low,yes,yes,past,1st,singular,bivouacked,,bivouacked,,,42,diagnostic_1
browbeat,en,low_irregular,2.121,low,yes,yes,past,1st,singular,browbeat,,browbeaten,,,42,diagnostic_1
forbear,en,low_irregular,2.281,low,yes,yes,past,1st,singular,forbore,,forborne,,,42,diagnostic_1
ghostwrite,en,low_irregular,2.069,low,yes,yes,past,1st,singular,ghostwrote,,ghostwritten,,,42,diagnostic_1
impanel,en,low_irregular,1.747,low,yes,yes,past,1st,singular,empanelled,impaneled|impanelled,empanelled,impanelled,,42,diagnostic_1
inlay,en,low_irregular,2.850,low,yes,yes,past,1st,singular,inlaid,inlayed,inlaid,,,42,diagnostic_1
inset,en,low_irregular,2.897,low,yes,yes,past,1st,singular,inset,insetted,inset,,,42,diagnostic_1
interbreed,en,low_irregular,2.449,low,yes,yes,past,1st,singular,interbred,,interbred,,,42,diagnostic_1
miscast,en,low_irregular,2.116,low,yes,yes,past,1st,singular,miscast,,miscast,,,42,diagnostic_1
outshine,en,low_irregular,2.769,low,yes,yes,past,1st,singular,outshone,,outshone,,,42,diagnostic_1
outwear,en,low_irregular,1.760,low,yes,yes,past,1st,singular,outwore,,outworn,,,42,diagnostic_1
overbear,en,low_irregular,2.922,low,yes,yes,past,1st,singular,overbore,,overborne,,,42,diagnostic_1
overdraw,en,low_irregular,1.844,low,yes,yes,past,1st,singular,overdrew,,overdrawn,,,42,diagnostic_1
overeat,en,low_irregular,2.839,low,yes,yes,past,1st,singular,overate,,overeaten,,,42,diagnostic_1
overwrite,en,low_irregular,2.665,low,yes,yes,past,1st,singular,overwrote,,overwritten,,,42,diagnostic_1
proofread,en,low_irregular,2.886,low,yes,yes,past,1st,singular,proofread,,proofread,,,42,diagnostic_1
shellac,en,low_irregular,2.560,low,yes,yes,past,1st,singular,shellacked,,shellacked,,,42,diagnostic_1
shrive,en,low_irregular,2.198,low,yes,yes,past,1st,singular,shrove,shrived,shriven,shrived,,42,diagnostic_1
unbend,en,low_irregular,2.182,low,yes,yes,past,1st,singular,unbent,unbended,unbent,,,42,diagnostic_1
underbid,en,low_irregular,1.660,low,yes,yes,past,1st,singular,underbid,,underbid,,,42,diagnostic_1
undersell,en,low_irregular,2.187,low,yes,yes,past,1st,singular,undersold,,undersold,,,42,diagnostic_1
abscond,en,low_regular,2.747,low,no,yes,past,1st,singular,absconded,,absconded,,,42,diagnostic_1
acquit,en,low_regular,2.675,low,no,yes,past,1st,singular,acquitted,,acquitted,,,42,diagnostic_1
allot,en,low_regular,2.862,low,no,yes,past,1st,singular,allotted,,allotted,,,42,diagnostic_1
amble,en,low_regular,2.700,low,no,yes,past,1st,singular,ambled,,ambled,,,42,diagnostic_1
bonk,en,low_regular,2.644,low,no,yes,past,1st,singular,bonked,,bonked,,,42,diagnostic_1
calcine,en,low_regular,2.078,low,no,yes,past,1st,singular,calcined,,calcined,,,42,diagnostic_1
chitchat,en,low_regular,2.290,low,no,yes,past,1st,singular,chitchated,,chitchated,,,42,diagnostic_1
corkscrew,en,low_regular,2.770,low,no,yes,past,1st,singular,corkscrewed,,corkscrewed,,,42,diagnostic_1
crosshatch,en,low_regular,1.825,low,no,yes,past,1st,singular,crosshatched,,crosshatched,,,42,diagnostic_1
deplane,en,low_regular,1.996,low,no,yes,past,1st,singular,deplaned,,deplaned,,,42,diagnostic_1
disfavor,en,low_regular,2.301,low,no,yes,past,1st,singular,disfavored,,disfavored,,,42,diagnostic_1
enrapture,en,low_regular,2.344,low,no,yes,past,1st,singular,enraptured,,enraptured,,,42,diagnostic_1
expound,en,low_regular,2.960,low,no,yes,past,1st,singular,expounded,,expounded,,,42,diagnostic_1
gambol,en,low_regular,1.983,low,no,yes,past,1st,singular,gambolled,gamboled,gambolled,gamboled,,42,diagnostic_1
interject,en,low_regular,2.794,low,no,yes,past,1st,singular,interjected,,interjected,,,42,diagnostic_1
overburden,en,low_regular,2.722,low,no,yes,past,1st,singular,overburdened,,overburdened,,,42,diagnostic_1
polymerize,en,low_regular,2.297,low,no,yes,past,1st,singular,polymerized,,polymerized,,,42,diagnostic_1
readapt,en,low_regular,1.190,low,no,yes,past,1st,singular,readapted,,readapted,,,42,diagnostic_1
regurgitate,en,low_regular,2.784,low,no,yes,past,1st,singular,regurgitated,,regurgitated,,,42,diagnostic_1
rejig,en,low_regular,1.520,low,no,yes,past,1st,singular,rejigged,,rejigged,,,42,diagnostic_1
satirize,en,low_regular,2.682,low,no,yes,past,1st,singular,satirized,,satirized,,,42,diagnostic_1
serialize,en,low_regular,2.693,low,no,yes,past,1st,singular,serialized,,serialized,,,42,diagnostic_1
unsex,en,low_regular,1.601,low,no,yes,past,1st,singular,unsexed,,unsexed,,,42,diagnostic_1
vitrify,en,low_regular,2.145,low,no,yes,past,1st,singular,vitrified,,vitrified,,,42,diagnostic_1
whir,en,low_regular,2.125,low,no,yes,past,1st,singular,whirred,,whirred,,,42,diagnostic_1
behold,en,mid_irregular,3.773,mid,yes,yes,past,1st,singular,beheld,,beheld,,,42,diagnostic_1
beset,en,mid_irregular,3.089,mid,yes,yes,past,1st,singular,beset,,beset,,,42,diagnostic_1
cleave,en,mid_irregular,3.194,mid,yes,yes,past,1st,singular,clove,cleft|cleaved,cloven,cleft|cleaved,,42,diagnostic_1
cling,en,mid_irregular,3.789,mid,yes,yes,past,1st,singular,clung,,clung,,,42,diagnostic_1
fling,en,mid_irregular,3.496,mid,yes,yes,past,1st,singular,flung,,flung,,,42,diagnostic_1
forego,en,mid_irregular,3.277,mid,yes,yes,past,1st,singular,forewent,forwent,foregone,forgone,,42,diagnostic_1
overhang,en,mid_irregular,3.105,mid,yes,yes,past,1st,singular,overhung,,overhung,,,42,diagnostic_1
overlay,en,mid_irregular,3.397,mid,yes,yes,past,1st,singular,overlaid,overlayed,overlaid,,,42,diagnostic_1
override,en,mid_irregular,3.636,mid,yes,yes,past,1st,singular,overrode,,overridden,,,42,diagnostic_1
oversee,en,mid_irregular,3.715,mid,yes,yes,past,1st,singular,oversaw,,overseen,,,42,diagnostic_1
overtake,en,mid_irregular,3.531,mid,yes,yes,past,1st,singular,overtook,,overtaken,,,42,diagnostic_1
partake,en,mid_irregular,3.366,mid,yes,yes,past,1st,singular,partook,,partaken,,,42,diagnostic_1
picnic,en,mid_irregular,3.845,mid,yes,yes,past,1st,singular,picnicked,,picnicked,,,42,diagnostic_1
redo,en,mid_irregular,3.282,mid,yes,yes,past,1st,singular,redid,,redone,,,42,diagnostic_1
remake,en,mid_irregular,3.883,mid,yes,yes,past,1st,singular,remade,,remade,,,42,diagnostic_1
rethink,en,mid_irregular,3.638,mid,yes,yes,past,1st,singular,rethought,,rethought,,,42,diagnostic_1
rewrite,en,mid_irregular,3.676,mid,yes,yes,past,1st,singular,rewrote,,rewritten,,,42,diagnostic_1
slay,en,mid_irregular,3.675,mid,yes,yes,past,1st,singular,slew,slayed,slain,slayed,,42,diagnostic_1
stink,en,mid_irregular,3.743,mid,yes,yes,past,1st,singular,stank,stunk,stunk,,,42,diagnostic_1
tarmac,en,mid_irregular,3.047,mid,yes,yes,past,1st,singular,tarmacked,,tarmacked,,,42,diagnostic_1
underwrite,en,mid_irregular,3.256,mid,yes,yes,past,1st,singular,underwrote,,underwritten,,,42,diagnostic_1
undo,en,mid_irregular,3.692,mid,yes,yes,past,1st,singular,undid,,undone,,,42,diagnostic_1
uphold,en,mid_irregular,3.736,mid,yes,yes,past,1st,singular,upheld,,upheld,,,42,diagnostic_1
weep,en,mid_irregular,3.741,mid,yes,yes,past,1st,singular,wept,,wept,,,42,diagnostic_1
wring,en,mid_irregular,3.049,mid,yes,yes,past,1st,singular,wrung,,wrung,,,42,diagnostic_1
crayon,en,mid_regular,3.330,mid,no,yes,past,1st,singular,crayoned,,crayoned,,,42,diagnostic_1
debunk,en,mid_regular,3.332,mid,no,yes,past,1st,singular,debunked,,debunked,,,42,diagnostic_1
derail,en,mid_regular,3.479,mid,no,yes,past,1st,singular,derailed,,derailed,,,42,diagnostic_1
discourse,en,mid_regular,3.889,mid,no,yes,past,1st,singular,discoursed,,discoursed,,,42,diagnostic_1
eschew,en,mid_regular,3.052,mid,no,yes,past,1st,singular,eschewed,,eschewed,,,42,diagnostic_1
excel,en,mid_regular,3.794,mid,no,yes,past,1st,singular,excelled,,excelled,,,42,diagnostic_1
expedite,en,mid_regular,3.372,mid,no,yes,past,1st,singular,expedited,,expedited,,,42,diagnostic_1
eyewitness,en,mid_regular,3.320,mid,no,yes,past,1st,singular,eyewitnessed,,eyewitnessed,,,42,diagnostic_1
fledge,en,mid_regular,3.312,mid,no,yes,past,1st,singular,fledged,,fledged,,,42,diagnostic_1
fluff,en,mid_regular,3.291,mid,no,yes,past,1st,singular,fluffed,,fluffed,,,42,diagnostic_1
impoverish,en,mid_regular,3.378,mid,no,yes,past,1st,singular,impoverished,,impoverished,,,42,diagnostic_1
lug,en,mid_regular,3.222,mid,no,yes,past,1st,singular,lugged,,lugged,,,42,diagnostic_1
marginalize,en,mid_regular,3.419,mid,no,yes,past,1st,singular,marginalized,,marginalized,,,42,diagnostic_1
parody,en,mid_regular,3.874,mid,no,yes,past,1st,singular,parodied,,parodied,,,42,diagnostic_1
proctor,en,mid_regular,3.267,mid,no,yes,past,1st,singular,proctored,,proctored,,,42,diagnostic_1
redress,en,mid_regular,3.207,mid,no,yes,past,1st,singular,redressed,,redressed,,,42,diagnostic_1
retaliate,en,mid_regular,3.358,mid,no,yes,past,1st,singular,retaliated,,retaliated,,,42,diagnostic_1
rut,en,mid_regular,3.183,mid,no,yes,past,1st,singular,rutted,,rutted,,,42,diagnostic_1
sire,en,mid_regular,3.547,mid,no,yes,past,1st,singular,sired,,sired,,,42,diagnostic_1
squish,en,mid_regular,3.081,mid,no,yes,past,1st,singular,squished,,squished,,,42,diagnostic_1
swindle,en,mid_regular,3.023,mid,no,yes,past,1st,singular,swindled,,swindled,,,42,diagnostic_1
symbolize,en,mid_regular,3.526,mid,no,yes,past,1st,singular,symbolized,,symbolized,,,42,diagnostic_1
undervalue,en,mid_regular,3.071,mid,no,yes,past,1st,singular,undervalued,,undervalued,,,42,diagnostic_1
yak,en,mid_regular,3.170,mid,no,yes,past,1st,singular,yakked,,yakked,,,42,diagnostic_1
yank,en,mid_regular,3.532,mid,no,yes,past,1st,singular,yanked,,yanked,,,42,diagnostic_1
acercar,es,high_irregular,5.171,high,yes,yes,preterite,1st,singular,acerqué,,acercado,,ar,42,diagnostic_1
avergonzar,es,high_irregular,3.839,high,yes,yes,preterite,1st,singular,avergoncé,,avergonzado,,ar,42,diagnostic_1
buscar,es,high_irregular,5.628,high,yes,yes,preterite,1st,singular,busqué,,buscado,,ar,42,diagnostic_1
cercar,es,high_irregular,5.383,high,yes,yes,preterite,1st,singular,cerqué,,cercado,,ar,42,diagnostic_1
certificar,es,high_irregular,4.312,high,yes,yes,preterite,1st,singular,certifiqué,,certificado,,ar,42,diagnostic_1
comenzar,es,high_irregular,5.296,high,yes,yes,preterite,1st,singular,comencé,,comenzado,,ar,42,diagnostic_1
contraer,es,high_irregular,3.880,high,yes,yes,preterite,1st,singular,contraje,,contraído,,er,42,diagnostic_1
desplazar,es,high_irregular,3.985,high,yes,yes,preterite,1st,singular,desplacé,,desplazado,,ar,42,diagnostic_1
detener,es,high_irregular,4.834,high,yes,yes,preterite,1st,singular,detuve,,detenido,,er,42,diagnostic_1
esperanzar,es,high_irregular,4.962,high,yes,yes,preterite,1st,singular,esperancé,,esperanzado,,ar,42,diagnostic_1
extraer,es,high_irregular,4.182,high,yes,yes,preterite,1st,singular,extraje,,extraído,,er,42,diagnostic_1
fincar,es,high_irregular,4.157,high,yes,yes,preterite,1st,singular,finqué,,fincado,,ar,42,diagnostic_1
imponer,es,high_irregular,4.878,high,yes,yes,preterite,1st,singular,impuse,,impuesto,,er,42,diagnostic_1
lanzar,es,high_irregular,4.888,high,yes,yes,preterite,1st,singular,lancé,,lanzado,,ar,42,diagnostic_1
mangar,es,high_irregular,4.543,high,yes,yes,preterite,1st,singular,mangué,,mangado,,ar,42,diagnostic_1
mazar,es,high_irregular,3.836,high,yes,yes,preterite,1st,singular,macé,,mazado,,ar,42,diagnostic_1
navegar,es,high_irregular,4.149,high,yes,yes,preterite,1st,singular,navegué,,navegado,,ar,42,diagnostic_1
obtener,es,high_irregular,5.116,high,yes,yes,preterite,1st,singular,obtuve,,obtenido,,er,42,diagnostic_1
pescar,es,high_irregular,4.639,high,yes,yes,preterite,1st,singular,pesqué,,pescado,,ar,42,diagnostic_1
picar,es,high_irregular,4.620,high,yes,yes,preterite,1st,singular,piqué,,picado,,ar,42,diagnostic_1
poner,es,high_irregular,5.805,high,yes,yes,preterite,1st,singular,puse,,puesto,,er,42,diagnostic_1
predecir,es,high_irregular,3.921,high,yes,yes,preterite,1st,singular,predije,,predicho,,ir,42,diagnostic_1
recargar,es,high_irregular,3.898,high,yes,yes,preterite,1st,singular,recargué,,recargado,,ar,42,diagnostic_1
sacar,es,high_irregular,5.287,high,yes,yes,preterite,1st,singular,saqué,,sacado,,ar,42,diagnostic_1
tocar,es,high_irregular,5.148,high,yes,yes,preterite,1st,singular,toqué,,tocado,,ar,42,diagnostic_1
aburrir,es,high_regular,4.356,high,no,yes,preterite,1st,singular,aburrí,,aburrido,,ir,42,diagnostic_1
acceder,es,high_regular,4.650,high,no,yes,preterite,1st,singular,accedí,,accedido,,er,42,diagnostic_1
ajustar,es,high_regular,4.246,high,no,yes,preterite,1st,singular,ajusté,,ajustado,,ar,42,diagnostic_1
aparecer,es,high_regular,5.199,high,no,yes,preterite,1st,singular,aparecí,,aparecido,,er,42,diagnostic_1
beneficiar,es,high_regular,4.792,high,no,yes,preterite,1st,singular,beneficié,,beneficiado,,ar,42,diagnostic_1
comer,es,high_regular,6.746,high,no,yes,preterite,1st,singular,comí,,comido,,er,42,diagnostic_1
conceder,es,high_regular,4.363,high,no,yes,preterite,1st,singular,concedí,,concedido,,er,42,diagnostic_1
construir,es,high_regular,5.007,high,no,yes,preterite,1st,singular,construí,,construido,,ir,42,diagnostic_1
durar,es,high_regular,5.173,high,no,yes,preterite,1st,singular,duré,,durado,,ar,42,diagnostic_1
enriquecer,es,high_regular,3.901,high,no,yes,preterite,1st,singular,enriquecí,,enriquecido,,er,42,diagnostic_1
esconder,es,high_regular,4.530,high,no,yes,preterite,1st,singular,escondí,,escondido,,er,42,diagnostic_1
fortalecer,es,high_regular,4.313,high,no,yes,preterite,1st,singular,fortalecí,,fortalecido,,er,42,diagnostic_1
herir,es,high_regular,4.470,high,no,yes,preterite,1st,singular,herí,,herido,,ir,42,diagnostic_1
imprimir,es,high_regular,4.304,high,no,yes,preterite,1st,singular,imprimí,,impreso,,ir,42,diagnostic_1
orillar,es,high_regular,4.304,high,no,yes,preterite,1st,singular,orillé,,orillado,,ar,42,diagnostic_1
