verb,lang,cell_id,zipf,tier,irregular_probed,in_census,probed_tense,probed_person,probed_number,gold_past_1sg,gold_past_1sg_alts,gold_participle,gold_participle_alts,ending,seed,experiment
acercar,es,high_irregular,5.171,high,yes,yes,preterite,1st,singular,acerqué,,acercado,,ar,42,diagnostic_2
avergonzar,es,high_irregular,3.839,high,yes,yes,preterite,1st,singular,avergoncé,,avergonzado,,ar,42,diagnostic_2
buscar,es,high_irregular,5.628,high,yes,yes,preterite,1st,singular,busqué,,buscado,,ar,42,diagnostic_2
cercar,es,high_irregular,5.383,high,yes,yes,preterite,1st,singular,cerqué,,cercado,,ar,42,diagnostic_2
certificar,es,high_irregular,4.312,high,yes,yes,preterite,1st,singular,certifiqué,,certificado,,ar,42,diagnostic_2
comenzar,es,high_irregular,5.296,high,yes,yes,preterite,1st,singular,comencé,,comenzado,,ar,42,diagnostic_2
contraer,es,high_irregular,3.880,high,yes,yes,preterite,1st,singular,contraje,,contraído,,er,42,diagnostic_2
desplazar,es,high_irregular,3.985,high,yes,yes,preterite,1st,singular,desplacé,,desplazado,,ar,42,diagnostic_2
detener,es,high_irregular,4.834,high,yes,yes,preterite,1st,singular,detuve,,detenido,,er,42,diagnostic_2
esperanzar,es,high_irregular,4.962,high,yes,yes,preterite,1st,singular,esperancé,,esperanzado,,ar,42,diagnostic_2
extraer,es,high_irregular,4.182,high,yes,yes,preterite,1st,singular,extraje,,extraído,,er,42,diagnostic_2
fincar,es,high_irregular,4.157,high,yes,yes,preterite,1st,singular,finqué,,fincado,,ar,42,diagnostic_2
imponer,es,high_irregular,4.878,high,yes,yes,preterite,1st,singular,impuse,,impuesto,,er,42,diagnostic_2
lanzar,es,high_irregular,4.888,high,yes,yes,preterite,1st,singular,lancé,,lanzado,,ar,42,diagnostic_2
mangar,es,high_irregular,4.543,high,yes,yes,preterite,1st,singular,mangué,,mangado,,ar,42,diagnostic_2
mazar,es,high_irregular,3.836,high,yes,yes,preterite,1st,singular,macé,,mazado,,ar,42,diagnostic_2
navegar,es,high_irregular,4.149,high,yes,yes,preterite,1st,singular,navegué,,navegado,,ar,42,diagnostic_2
obtener,es,high_irregular,5.116,high,yes,yes,preterite,1st,singular,obtuve,,obtenido,,er,42,diagnostic_2
pescar,es,high_irregular,4.639,high,yes,yes,preterite,1st,singular,pesqué,,pescado,,ar,42,diagnostic_2
picar,es,high_irregular,4.620,high,yes,yes,preterite,1st,singular,piqué,,picado,,ar,42,diagnostic_2
poner,es,high_irregular,5.805,high,yes,yes,preterite,1st,singular,puse,,puesto,,er,42,diagnostic_2
predecir,es,high_irregular,3.921,high,yes,yes,preterite,1st,singular,predije,,predicho,,ir,42,diagnostic_2
recargar,es,high_irregular,3.898,high,yes,yes,preterite,1st,singular,recargué,,recargado,,ar,42,diagnostic_2
sacar,es,high_irregular,5.287,high,yes,yes,preterite,1st,singular,saqué,,sacado,,ar,42,diagnostic_2
tocar,es,high_irregular,5.148,high,yes,yes,preterite,1st,singular,toqué,,tocado,,ar,42,diagnostic_2
aburrir,es,high_regular,4.356,high,no,yes,preterite,1st,singular,aburrí,,aburrido,,ir,42,diagnostic_2
acceder,es,high_regular,4.650,high,no,yes,preterite,1st,singular,accedí,,accedido,,er,42,diagnostic_2
ajustar,es,high_regular,4.246,high,no,yes,preterite,1st,singular,ajusté,,ajustado,,ar,42,diagnostic_2
aparecer,es,high_regular,5.199,high,no,yes,preterite,1st,singular,aparecí,,aparecido,,er,42,diagnostic_2
beneficiar,es,high_regular,4.792,high,no,yes,preterite,1st,singular,beneficié,,beneficiado,,ar,42,diagnostic_2
comer,es,high_regular,6.746,high,no,yes,preterite,1st,singular,comí,,comido,,er,42,diagnostic_2
conceder,es,high_regular,4.363,high,no,yes,preterite,1st,singular,concedí,,concedido,,er,42,diagnostic_2
construir,es,high_regular,5.007,high,no,yes,preterite,1st,singular,construí,,construido,,ir,42,diagnostic_2
durar,es,high_regular,5.173,high,no,yes,preterite,1st,singular,duré,,durado,,ar,42,diagnostic_2
enriquecer,es,high_regular,3.901,high,no,yes,preterite,1st,singular,enriquecí,,enriquecido,,er,42,diagnostic_2
esconder,es,high_regular,4.530,high,no,yes,preterite,1st,singular,escondí,,escondido,,er,42,diagnostic_2
fortalecer,es,high_regular,4.313,high,no,yes,preterite,1st,singular,fortalecí,,fortalecido,,er,42,diagnostic_2
herir,es,high_regular,4.470,high,no,yes,preterite,1st,singular,herí,,herido,,ir,42,diagnostic_2
imprimir,es,high_regular,4.304,high,no,yes,preterite,1st,singular,imprimí,,impreso,,ir,42,diagnostic_2
orillar,es,high_regular,4.304,high,no,yes,preterite,1st,singular,orillé,,orillado,,ar,42,diagnostic_2
perdonar,es,high_regular,4.472,high,no,yes,preterite,1st,singular,perdoné,,perdonado,,ar,42,diagnostic_2
poseer,es,high_regular,4.729,high,no,yes,preterite,1st,singular,poseí,,poseso,,er,42,diagnostic_2
remitir,es,high_regular,3.895,high,no,yes,preterite,1st,singular,remití,,remitido,,ir,42,diagnostic_2
remover,es,high_regular,3.896,high,no,yes,preterite,1st,singular,removí,,removido,,er,42,diagnostic_2
resistir,es,high_regular,4.360,high,no,yes,preterite,1st,singular,resistí,,resistido,,ir,42,diagnostic_2
retar,es,high_regular,4.426,high,no,yes,preterite,1st,singular,reté,,retado,,ar,42,diagnostic_2
seguir,es,high_regular,5.870,high,no,yes,preterite,1st,singular,seguí,,seguido,,ir,42,diagnostic_2
sobrepasar,es,high_regular,3.852,high,no,yes,preterite,1st,singular,sobrepasé,,sobrepasado,,ar,42,diagnostic_2
tarar,es,high_regular,3.857,high,no,yes,preterite,1st,singular,taré,,tarado,,ar,42,diagnostic_2
unir,es,high_regular,6.008,high,no,yes,preterite,1st,singular,uní,,unido,,ir,42,diagnostic_2
advenir,es,low_irregular,1.688,low,yes,yes,preterite,1st,singular,advine,,advenido,,ir,42,diagnostic_2
atomizar,es,low_irregular,2.386,low,yes,yes,preterite,1st,singular,atomicé,,atomizado,,ar,42,diagnostic_2
avenir,es,low_irregular,2.540,low,yes,yes,preterite,1st,singular,avine,,avenido,,ir,42,diagnostic_2
conculcar,es,low_irregular,2.087,low,yes,yes,preterite,1st,singular,conculqué,,conculcado,,ar,42,diagnostic_2
densificar,es,low_irregular,1.369,low,yes,yes,preterite,1st,singular,densifiqué,,densificado,,ar,42,diagnostic_2
desconvocar,es,low_irregular,1.528,low,yes,yes,preterite,1st,singular,desconvoqué,,desconvocado,,ar,42,diagnostic_2
desnucar,es,low_irregular,1.726,low,yes,yes,preterite,1st,singular,desnuqué,,desnucado,,ar,42,diagnostic_2
detraer,es,low_irregular,1.866,low,yes,yes,preterite,1st,singular,detraje,,detraído,,er,42,diagnostic_2
excomulgar,es,low_irregular,2.661,low,yes,yes,preterite,1st,singular,excomulgué,,excomulgado,,ar,42,diagnostic_2
expurgar,es,low_irregular,1.838,low,yes,yes,preterite,1st,singular,expurgué,,expurgado,,ar,42,diagnostic_2
fructificar,es,low_irregular,2.529,low,yes,yes,preterite,1st,singular,fructifiqué,,fructificado,,ar,42,diagnostic_2
hidrolizar,es,low_irregular,2.134,low,yes,yes,preterite,1st,singular,hidrolicé,,hidrolizado,,ar,42,diagnostic_2
hostilizar,es,low_irregular,2.033,low,yes,yes,preterite,1st,singular,hostilicé,,hostilizado,,ar,42,diagnostic_2
impermeabilizar,es,low_irregular,2.029,low,yes,yes,preterite,1st,singular,impermeabilicé,,impermeabilizado,,ar,42,diagnostic_2
inmunizar,es,low_irregular,2.351,low,yes,yes,preterite,1st,singular,inmunicé,,inmunizado,,ar,42,diagnostic_2
intelectualizar,es,low_irregular,1.161,low,yes,yes,preterite,1st,singular,intelectualicé,,intelectualizado,,ar,42,diagnostic_2
pasteurizar,es,low_irregular,2.004,low,yes,yes,preterite,1st,singular,pasteuricé,,pasteurizado,,ar,42,diagnostic_2
pluralizar,es,low_irregular,1.497,low,yes,yes,preterite,1st,singular,pluralicé,,pluralizado,,ar,42,diagnostic_2
reciprocar,es,low_irregular,2.505,low,yes,yes,preterite,1st,singular,reciproqué,,reciprocado,,ar,42,diagnostic_2
relativizar,es,low_irregular,2.689,low,yes,yes,preterite,1st,singular,relativicé,,relativizado,,ar,42,diagnostic_2
remolcar,es,low_irregular,2.794,low,yes,yes,preterite,1st,singular,remolqué,,remolcado,,ar,42,diagnostic_2
rubricar,es,low_irregular,2.616,low,yes,yes,preterite,1st,singular,rubriqué,,rubricado,,ar,42,diagnostic_2
tecnificar,es,low_irregular,2.130,low,yes,yes,preterite,1st,singular,tecnifiqué,,tecnificado,,ar,42,diagnostic_2
uniformizar,es,low_irregular,1.580,low,yes,yes,preterite,1st,singular,uniformicé,,uniformizado,,ar,42,diagnostic_2
urbanizar,es,low_irregular,2.810,low,yes,yes,preterite,1st,singular,urbanicé,,urbanizado,,ar,42,diagnostic_2
